departamento,provincia,ubigeo,pob2017,pob2020,pobreza,desempleo_n,ingreso_porc,nosec25,nosec25_porc,p65amas,p65amas_porc,p17amenos,p17amenos_porc,pmayorde5disc,pmayorde5disc_porc,hogarmonop,pobind,esp2dalengua,esp2dalengua_porc,vivprecaria,hacinam,carret_asfalt,adultos_hta_freq,adultos_hyperchol_freq,adultos_ecv_freq,adultos_asma_freq,adultos_epoc_freq,tabaco,cancer_c,cancer_d,vih,obes_imc30_freq,adultos_diabetes_freq,densidadpob,mortalidad_iras,mortalidad_irasx100000,n_camas_hospitalarias,n_camas_uci,n_medicos,n_ventiladores,gastoregsalud_porc,gastoxcapitasalud,labcovid,n_emergencia,desempleo_porc,hogarmonop_porc,hacinam_porc,hta_porc,coles_porc,ecv_porc,asma_porc,epoc_porc,obesidad_porc,diabetes_porc,cancer_n,cancer_porc,camas_hospix100mil,camas_ucix100mil,medicosx100mil,ventiladoresx100mil,labcovidx100mil,emergenciax100mil
SAN MARTIN,RIOJA,2208,122544,131651,114,70374,809.15,35072,.28619924,10176.056,.08304002,49371.616,.40288889,9585,.0782168,22545,.0443984,2726,.02224507,.40213612,21722,0,709,953,30,126,72,17.87,81,529,126.89,475,536,48.340066,9,7.3443008,146,19,54,0,.98862362,18.80922,1,8,.5742754,.1839747,.1772588,.0057857,.0077768,.0002448,.0010282,.0005875,.0038762,.0043739,610,.0049778,119.1409,15.50463506985246,44.0658,15.6105611,.8160334,6.528267
SAN MARTIN,SAN MARTIN,2209,193095,218074,161,100328,1177.56,34057,.17637432,19443.427,.10069358,65489.831,.3391586,19868,.10289236,34292,.06490662,3165,.0163909,.22299866,26738,0,1575,2397,906,581,786,17.87,996,3627,802.33,4535,1890,34.237795,32,16.572154,497,48,250,23,.98862362,18.80922,1,10,.5195785000000001,.1775913,.1384707,.0081566,.0124136,.004692,.0030089,.0040705,.0234858,.0097879,4623,.0239416,257.3863,24.85823040472307,129.47,15.6105611,.5178798,5.178798
SAN MARTIN,TOCACHE,2210,69394,76450,151,38405,952.75,18526,.26696833,6084.2427,.08767678,27130.483,.39096295,6735,.0970545,11123,.10056144,2717,.03915324,.40933702,10966,0,490,1097,10,162,653,17.87,49,295,20.31,1290,765,11.831077,2,2.8820936,79,4,50,2,.98862362,18.80922,1,2,.553434,.1602876,.1580252,.0070611,.0158083,.0001441,.0023345,.00941,.0185895,.011024,344,.0049572,113.8427,5.764187105513445,72.05234,15.6105611,1.441047,2.882094
TACNA,CANDARAVE,2302,6102,6093,123,3326,373.48,2216,.36315962,1354.5946,.2219919,1495.3607,.24506075,1018,.16683055,1018,.67478913,1958,.3208784,.86779942,848,0,4,136,3,28,22,13,1,24,0,1477,7,2.6986865,0,0,12,0,8,0,.98776184,18.38849,1,0,.5450672,.1668306,.1389708,.0006555,.0222878,.0004916,.0045887,.0036054,.2420518,.0011472,25,.004097,196.6568,0,131.1046,14.68846,16.38807,0
TACNA,JORGE BASADRE,2303,10773,12549,186,4256,1503.76,1461,.13561682,1232.3978,.1143969,3111.7292,.28884519,978,.09078251,1798,.30740629,1939,.179987,.33376835,1138,.69559024,17,197,0,123,120,13,4,19,26.62,1467,16,3.6846894,1,9.2824654,55,1,7,0,.98776184,18.38849,1,0,.3950617,.1668987,.1056345,.001578,.0182865,0,.0114174,.011139,.1361738,.0014852,23,.002135,510.5356,9.282465422816299,64.97726,14.68846,9.282465,0
TACNA,TACNA,2301,306363,346192,164,148133,1000.33,36852,.12028868,32533.789,.1061936,90876.42,.29662988,34239,.11175958,81326,.39754717,70949,.23158475,.24144307,38652,.10890727,918,6997,206,1715,1540,13,812,2512,308,32678,1933,37.498531,22,7.1810238,471,37,401,45,.98776184,18.38849,1,1,.4835212,.2654563,.1261641,.0029964,.0228389,.0006724,.0055979,.0050267,.1066643,.0063095,3324,.0108499,153.7392,12.0771764214347,130.8905,14.68846,.3264102,.3264102
TACNA,TARATA,2304,6094,6140,102,3381,439.72,1941,.31851001,1360.8954,.22331726,1353.6797,.2221332,1141,.18723334,1192,.47290097,1613,.26468658,.84645669,719,.04653826,17,258,1,16,29,13,16,15,28.52,1310,12,2.1610236,0,0,17,0,10,0,.98776184,18.38849,1,0,.554808,.1956022,.1179849,.0027896,.0423367,.0001641,.0026255,.0047588,.2149655,.0019692,31,.005087,278.9629,0,164.0958,14.68846,16.40958,0
TUMBES,CONTRALMIRANTE VILLAR,2402,21057,24127,178,11460,970.49,4250,.20183312,2209.4098,.10492519,7167.0567,.34036457,1637,.07774137,2949,.02120164,258,.01225246,.27369731,2905,.00629628,429,536,8,52,136,19.77,30,155,113.7,2317,314,9.917483799999999,0,0,30,0,23,0,.94559252,26.90568,2,1,.5442371,.1400484,.1379589,.0203733,.0254547,.0003799,.0024695,.0064587,.1100347,.0149119,185,.0087857,142.4704,0,109.2273,7.098515,9.498029000000001,4.749014
TUMBES,TUMBES,2401,154962,171356,180,85062,984.0599999999999,23869,.15403131,16684.442,.10766796,53695.428,.34650707,15340,.09899201,31001,.01886714,1198,.00773093,.26563439,23753,.32079174,1152,4443,128,368,96,19.77,313,1197,908,13260,1972,86.082826,23,14.842348,341,22,188,11,.94559252,26.90568,2,3,.5489216,.2000555,.1532827,.0074341,.0286715,.000826,.0023748,.0006195,.0855694,.0127257,1510,.0097443,220.054,14.19702894903267,121.3201,7.098515,1.290639,1.935959
TUMBES,ZARUMILLA,2403,48844,56038,183,26217,812.21,9104,.18638932,3880.1868,.0794404,19194.368,.39297289,3961,.08109491,9592,.02826421,380,.00777987,.41627703,8152,.40083467,352,944,13,122,26,19.77,75,339,228.29,3078,613,65.550978,5,10.236672,50,0,27,0,.94559252,26.90568,2,2,.5367497,.1963803,.1668987,.0072066,.0193268,.0002662,.0024977,.0005323,.063017,.0125502,414,.008476,102.3667,0,55.27803,7.098515,4.094669,4.094669
UCAYALI,ATALAYA,2502,49324,61049,100,29846,522.33,11813,.23949801,2619.4261,.05310652,28514.706,.57811017,2239,.04539372,7788,.60748474,23210,.470562,.31214445,9220,0,306,275,1,77,313,20.86,7,131,346.7,2083,365,1.2671733,3,6.0822318,57,4,18,0,.98494415,20.85801,1,1,.605101,.1578947,.1869273,.0062039,.0055754,.0000203,.0015611,.0063458,.042231,.0074,138,.0027978,115.5624,8.109642364771714,36.49339,5.206056,2.027411,2.027411
UCAYALI,CORONEL PORTILLO,2501,384168,447733,182,215758,865.52,57737,.15029102,35267.643,.09180266,160081.38,.41669629,33312,.08671206,86792,.09413337,29834,.07765873,.27568421,60380,.00801233,5935,3597,446,962,2332,20.86,1337,3586,284.9,11630,6598,10.601832,107,27.852398,715,41,367,20,.98494415,20.85801,1,1,.5616241,.225922,.1571708,.015449,.0093631,.001161,.0025041,.0060703,.0302732,.0171748,4923,.0128147,186.1165,10.67241415214177,95.53112,5.206056,.2603028,.2603028
UCAYALI,PADRE ABAD,2503,60107,77044,179,32376,642.34,16857,.28044986,4045.0892,.06729814,28416.19,.47276008,5078,.08448267,10655,.2041654,7737,.12872045,.33666533,9938,0,672,646,9,170,775,20.86,86,309,58.29,1755,739,6.8125354,1,1.6636997,66,0,41,0,.98494415,20.85801,1,1,.5386394,.1772672,.1653385,.0111801,.0107475,.0001497,.0028283,.0128937,.0291979,.0122947,395,.0065716,109.8042,0,68.21169,5.206056,1.6637,1.6637
UCAYALI,PURUS,2504,2860,3284,103,1908,551.6900000000001,2358,.82447552,190.02588,.06644262,1547.4447,.54106457,173,.06048951,428,.6878198599999999,1813,.63391608,.10688141,484,0,12,5,0,2,138,20.86,2,22,0,22,62,.16024204,0,0,9,0,2,0,.98494415,20.85801,1,0,.6671329,.1496504,.1692308,.0041958,.0017483,0,.0006993,.0482517,.0076923,.0216783,24,.0083916,314.6853,0,69.93007,5.206056,34.96503,0
