AMAZONAS;CHACHAPOYAS;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;50;0;2;85;0;1;54;0;1;20;0;2;183;1;1;95;0;2;188;1;4;151;1;0;2;0;2;93;0;0;27;0;2;13;0;1;15;0;Low;Moderate;Low;Very Low;High;Very Low;Very Low;Very Low
LIMA;LIMA;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;3;0;2;108;1;1;70;0;1;32;0;2;151;1;2;173;1;2;195;1;5;188;1;1;9;0;2;123;1;1;49;0;2;26;0;1;16;0;Very Low;Moderate;Low;Very Low;Very High;Low;Very Low;Very Low
ICA;ICA;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;7;0;2;118;1;1;69;0;1;22;0;2;159;1;2;160;1;2;194;1;6;191;1;1;24;0;3;186;1;1;117;1;3;68;0;1;18;0;Very Low;Moderate;Low;Very Low;Very High;Moderate;Low;Very Low
PIURA;TALARA;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;39;0;2;82;0;0;13;0;1;82;0;1;78;0;1;41;0;1;111;1;4;131;1;3;145;1;3;190;1;2;185;1;3;75;0;1;18;0;Very Low;Moderate;Very Low;Moderate;High;Very High;Low;Very Low
LA LIBERTAD;PATAZ;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;3;126;1;2;34;0;0;47;0;1;10;0;1;46;0;1;23;0;1;69;0;2;32;0;3;178;1;2;81;0;1;152;1;2;17;0;1;19;0;High;Very Low;Low;Very Low;Very Low;High;Very Low;Very Low
TUMBES;TUMBES;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;27;0;2;66;0;0;11;0;2;115;1;2;190;1;2;97;0;2;178;1;6;192;1;1;30;0;2;144;1;1;75;0;2;43;0;1;20;0;Very Low;Low;Very Low;Moderate;Very High;Low;Low;Very Low
SAN MARTIN;RIOJA;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;1;1;0;2;74;0;2;40;0;0;45;0;1;62;0;1;58;0;1;39;0;1;118;1;3;77;0;2;85;0;2;98;0;1;82;0;2;11;0;1;21;0;Low;Low;Low;Low;Low;Moderate;Very Low;Very Low
ICA;PISCO;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;22;0;2;130;1;1;61;0;1;11;0;2;170;1;1;76;0;2;168;1;5;184;1;2;62;0;3;170;1;1;129;1;3;82;0;1;22;0;Very Low;High;Low;Very Low;Very High;High;Moderate;Very Low
AREQUIPA;CARAVELI;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;14;0;1;13;0;1;93;0;2;105;1;1;67;0;2;174;1;1;125;1;3;100;1;3;172;1;1;36;0;1;114;1;2;23;0;1;24;0;Very Low;Very Low;Moderate;Moderate;Moderate;Moderate;Very Low;Very Low
HUANUCO;PUERTO INCA;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;2;72;0;1;8;0;1;75;0;1;70;0;2;128;1;2;123;1;1;54;0;4;107;1;2;143;1;3;161;1;2;171;1;3;56;0;1;24;0;Low;Very Low;Low;Low;Moderate;Very High;Low;Very Low
LIMA;HUARAL;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;23;0;2;110;1;1;80;0;1;18;0;3;192;1;2;185;1;2;184;1;6;196;1;1;21;0;1;32;0;0;5;0;2;22;0;1;25;0;Very Low;Moderate;Moderate;Very Low;Very High;Very Low;Very Low;Very Low
PIURA;SECHURA;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;69;0;2;50;0;0;12;0;1;99;1;2;143;1;1;28;0;1;62;0;3;84;0;3;191;1;3;183;1;2;195;1;3;57;0;1;26;0;Low;Low;Very Low;Moderate;Moderate;Very High;Low;Very Low
