departamento;provincia;ubigeo;pob2017;pob2020;pobreza;desempleo_n;ingreso_porc;nosec25;nosec25_porc;p65amas;p65amas_porc;p17amenos;p17amenos_porc;pmayorde5disc;pmayorde5disc_porc;hogarmonop;pobind;esp2dalengua;esp2dalengua_porc;vivprecaria;hacinam;carret_asfalt;adultos_hta_freq;adultos_hyperchol_freq;adultos_ecv_freq;adultos_asma_freq;adultos_epoc_freq;tabaco;cancer_c;cancer_d;vih;obes_imc30_freq;adultos_diabetes_freq;densidadpob;mortalidad_iras;mortalidad_irasx100000;n_camas_hospitalarias;n_camas_uci;n_medicos;n_ventiladores;gastoregsalud_porc;gastoxcapitasalud;labcovid;n_emergencia;desempleo_porc;hogarmonop_porc;hacinam_porc;hta_porc;coles_porc;ecv_porc;asma_porc;epoc_porc;obesidad_porc;diabetes_porc;cancer_n;cancer_porc;camas_hospix100mil;camas_ucix100mil;medicosx100mil;ventiladoresx100mil;labcovidx100mil;emergenciax100mil
PUNO;SANDIA;2112;50742;56088;76;28886;469;16665;0;6431;0;17341;0;7310;0;10858;1;37019;1;1;9846;0;245;255;8;73;900;14;38;113;25;3340;158;4;3;6;99;0;34;0;1;25;1;3;1;0;0;0;0;0;0;0;0;0;151;0;195;0;67;16;2;6
PUNO;YUNGUYO;2113;36939;37116;41;26142;362;14488;0;8292;0;9914;0;5840;0;5599;1;28692;1;1;5209;1;52;198;6;64;229;14;26;99;3;1230;23;127;1;3;43;0;26;0;1;25;1;1;1;0;0;0;0;0;0;0;0;0;125;0;116;0;70;16;3;3
SAN MARTIN;BELLAVISTA;2202;55033;60893;106;30994;725;17693;0;4640;0;22995;0;4034;0;6363;0;567;0;1;9778;0;427;1041;17;99;193;18;23;148;241;1718;1056;7;1;2;69;0;22;0;1;19;1;4;1;0;0;0;0;0;0;0;0;0;171;0;125;0;40;16;2;7
SAN MARTIN;EL DORADO;2203;36752;42983;85;20596;444;14358;0;3478;0;16757;0;2162;0;3617;0;1148;0;1;6585;0;173;429;13;42;47;18;15;90;65;757;174;28;0;0;41;0;23;0;1;19;1;2;1;0;0;0;0;0;0;0;0;0;105;0;112;0;63;16;3;5
SAN MARTIN;HUALLAGA;2204;27506;30097;146;16008;583;9441;0;3044;0;10592;0;2512;0;3347;0;123;0;1;4880;0;107;827;5;60;56;18;17;124;128;1864;123;12;0;0;40;0;19;0;1;19;1;3;1;0;0;0;0;0;0;0;0;0;141;0;145;0;69;16;4;11
SAN MARTIN;LAMAS;2205;81521;88637;116;46071;504;30182;0;8976;0;32889;0;7639;0;9913;0;3700;0;1;14896;0;631;1044;31;120;50;18;55;385;368;387;761;16;3;4;60;0;37;0;1;19;1;7;1;0;0;0;0;0;0;0;0;0;440;0;74;0;45;16;1;9
SAN MARTIN;MARISCAL CACERES;2206;64626;73193;135;36202;745;18458;0;5806;0;25795;0;5677;0;9301;0;517;0;0;10971;0;414;1197;12;90;241;18;48;232;236;1342;1030;4;0;0;59;8;33;0;1;19;1;3;1;0;0;0;0;0;0;0;0;0;280;0;91;12;51;16;2;5
SAN MARTIN;MOYOBAMBA;2201;122365;133631;148;65973;834;34388;0;11117;0;48599;0;9865;0;21447;0;1920;0;0;19718;0;975;837;122;353;478;18;99;954;40;1411;885;32;17;14;177;26;122;1;1;19;1;9;1;0;0;0;0;0;0;0;0;0;1053;0;145;21;100;16;1;7
SAN MARTIN;PICOTA;2207;40545;44039;101;23192;727;12949;0;4118;0;16281;0;3803;0;4443;0;347;0;1;6837;0;157;886;19;71;358;18;30;136;168;854;290;19;4;10;45;0;24;0;1;19;1;8;1;0;0;0;0;0;0;0;0;0;166;0;111;0;59;16;2;20
SAN MARTIN;RIOJA;2208;122544;131651;114;70374;809;35072;0;10176;0;49372;0;9585;0;22545;0;2726;0;0;21722;0;709;953;30;126;72;18;81;529;127;475;536;48;9;7;146;19;54;0;1;19;1;8;1;0;0;0;0;0;0;0;0;0;610;0;119;16;44;16;1;7
